Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D],Month
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,921,886,35,345,576,5,5,NA,NA,5,NA,NA,NA,NA,NA,414,414,NA,147,267,1,1,NA,1,NA,39,39,NA,39,NA,427,427,NA,127,300,35,NA,35,31,4,July,,,,,July
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2676,2061,615,884,1792,593,593,NA,NA,593,NA,NA,NA,NA,NA,1193,1193,NA,120,1073,3,3,NA,3,NA,53,53,NA,53,NA,219,219,NA,102,117,615,NA,615,606,9,July,,,,,July
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,35,16,19,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,19,NA,19,19,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,250,222,28,104,146,25,25,NA,NA,25,NA,NA,NA,NA,NA,194,194,NA,73,121,0,0,NA,0,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,28,NA,28,28,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,226,200,26,116,110,25,25,NA,NA,25,NA,NA,NA,NA,NA,175,175,NA,90,85,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,26,NA,26,26,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1711,1434,277,325,1386,227,227,NA,NA,227,NA,NA,NA,NA,NA,1147,1147,NA,19,1128,12,12,NA,12,NA,21,21,NA,21,NA,27,27,NA,1,26,277,NA,277,272,5,July,,,,,July
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,1046,843,203,615,431,58,58,NA,NA,58,NA,NA,NA,NA,NA,257,257,NA,196,61,12,12,NA,12,NA,91,91,NA,91,NA,425,425,NA,118,307,203,NA,203,198,5,July,,,,,July
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,45,30,15,25,20,4,4,NA,NA,4,NA,NA,NA,NA,NA,22,22,NA,7,15,0,0,NA,0,NA,1,1,NA,1,NA,3,3,NA,2,1,15,NA,15,15,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,24,21,3,9,15,4,4,NA,NA,4,NA,NA,NA,NA,NA,15,15,NA,4,11,0,0,NA,0,NA,1,1,NA,1,NA,1,1,NA,1,0,3,NA,3,3,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1697,1400,297,340,1357,227,227,NA,NA,227,NA,NA,NA,NA,NA,1171,1171,NA,43,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,297,NA,297,297,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,97,67,30,19,78,67,67,NA,NA,67,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,30,NA,30,19,11,July,,,,,July
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,14,9,5,3,11,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,3,2,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1614,1527,87,145,1469,227,227,NA,NA,227,NA,NA,NA,NA,NA,1186,1186,NA,58,1128,0,0,NA,0,NA,NA,NA,NA,NA,NA,114,114,NA,0,114,87,NA,87,87,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,July,,,,,July
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,July,,,,,July
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,July,,,,,July
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,75,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,28,28,NA,28,NA,NA,NA,NA,NA,NA,July,,,,,July
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,July,,,,,July
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,44,44,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,9,NA,NA,NA,NA,NA,NA,7,7,NA,7,NA,28,28,NA,28,NA,NA,NA,NA,NA,NA,July,,,,,July
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,985,566,419,326,659,227,227,NA,NA,227,NA,NA,NA,NA,NA,339,339,NA,0,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,NA,419,326,93,July,,,,,July
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,413,263,150,124,289,97,97,NA,NA,97,NA,NA,NA,NA,NA,166,166,NA,0,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,150,124,26,July,,,,,July
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,611,591,20,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,342,NA,342,NA,NA,NA,NA,NA,NA,23,23,NA,23,NA,226,226,NA,226,NA,20,NA,20,20,NA,July,,,,,July
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,388,171,217,150,238,130,130,NA,NA,130,NA,NA,NA,NA,NA,41,41,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,217,150,67,July,,,,,July
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,101,58,43,31,70,45,45,NA,NA,45,NA,NA,NA,NA,NA,13,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,43,31,12,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,567,329,238,215,352,116,116,NA,NA,116,NA,NA,NA,NA,NA,198,198,NA,16,182,NA,NA,NA,NA,NA,8,8,NA,8,NA,7,7,NA,7,NA,238,NA,238,184,54,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,529,310,219,213,316,116,116,NA,NA,116,NA,NA,NA,NA,NA,164,164,NA,9,155,NA,NA,NA,NA,NA,10,10,NA,10,NA,20,20,NA,20,NA,219,NA,219,174,45,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,86,57,29,12,74,40,40,NA,NA,40,NA,NA,NA,NA,NA,16,16,NA,0,16,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,29,NA,29,11,18,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,18,15,3,7,11,7,7,NA,NA,7,NA,NA,NA,NA,NA,3,3,NA,1,2,NA,NA,NA,NA,NA,4,4,NA,4,NA,1,1,NA,1,NA,3,NA,3,1,2,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,82,45,37,33,49,7,7,NA,NA,7,NA,NA,NA,NA,NA,32,32,NA,1,31,NA,NA,NA,NA,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,37,NA,37,26,11,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,224,50,174,157,67,41,41,NA,NA,41,NA,NA,NA,NA,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,174,157,17,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,29,20,9,6,23,20,20,NA,NA,20,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,6,3,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,94,77,17,17,77,37,37,NA,NA,37,NA,NA,NA,NA,NA,40,40,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,17,17,0,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1038,635,403,370,668,232,232,NA,NA,232,NA,NA,NA,NA,NA,361,361,NA,24,337,NA,NA,NA,NA,NA,18,18,NA,18,NA,24,24,NA,24,NA,403,NA,403,304,99,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,210,158,52,48,162,82,82,NA,NA,82,NA,NA,NA,NA,NA,66,66,NA,2,64,NA,NA,NA,NA,NA,4,4,NA,4,NA,6,6,NA,6,NA,52,NA,52,36,16,July,,,,,July
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,735,535,200,243,492,196,196,NA,NA,196,NA,NA,NA,NA,NA,297,297,NA,25,272,NA,NA,NA,NA,NA,18,18,NA,18,NA,24,24,NA,24,NA,200,NA,200,176,24,July,,,,,July
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,289,283,6,6,283,180,180,NA,NA,180,NA,NA,NA,NA,NA,103,103,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,6,0,July,,,,,July
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,16,15,1,1,15,4,4,NA,NA,4,NA,NA,NA,NA,NA,11,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,July,,,,,July
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,60,60,0,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,22,0,NA,NA,NA,NA,NA,20,20,NA,20,NA,18,18,NA,18,NA,0,NA,0,0,0,July,,,,,July
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,515,270,245,249,266,218,218,NA,NA,218,NA,NA,NA,NA,NA,48,48,NA,0,48,NA,NA,NA,NA,NA,2,2,NA,2,NA,2,2,NA,2,NA,245,NA,245,245,0,July,,,,,July
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,745,516,229,406,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,350,NA,11,339,1,1,NA,1,NA,42,42,NA,42,NA,123,123,NA,123,NA,229,NA,229,229,0,July,,,,,July
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,726,513,213,387,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,347,NA,8,339,1,1,NA,1,NA,42,42,NA,42,NA,123,123,NA,123,NA,213,NA,213,213,0,July,,,,,July
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,86,84,2,32,54,0,0,NA,NA,0,2,2,NA,2,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,7,7,NA,7,NA,69,69,NA,15,54,2,NA,2,2,0,July,,,,,July
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,287,283,4,171,116,9,9,NA,NA,9,3,3,NA,3,NA,60,60,NA,60,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,189,189,NA,82,107,4,NA,4,4,0,July,,,,,July
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,83,81,2,29,54,0,0,NA,NA,0,NA,NA,NA,NA,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,7,7,NA,7,NA,68,68,NA,14,54,2,NA,2,2,0,July,,,,,July
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,284,280,4,168,116,9,9,NA,NA,9,1,1,NA,1,NA,60,60,NA,60,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,188,188,NA,81,107,4,NA,4,4,0,July,,,,,July
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,5,5,0,0,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,17,16,1,0,17,16,16,NA,NA,16,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,July,,,,,July
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,21,18,3,1,20,18,18,NA,NA,18,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,2,July,,,,,July
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,27,27,0,0,27,22,22,NA,NA,22,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,528,499,29,384,144,30,30,NA,NA,30,NA,NA,NA,NA,NA,342,342,NA,329,13,0,0,NA,0,NA,10,10,NA,10,NA,117,117,NA,30,87,29,NA,29,15,14,July,,,,,July
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,127,127,0,0,127,57,57,NA,NA,57,NA,NA,NA,NA,NA,70,70,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,23,22,1,1,22,21,21,NA,NA,21,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0,July,,,,,July
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,93,76,17,39,54,13,13,NA,NA,13,NA,NA,NA,NA,NA,30,30,NA,12,18,2,2,NA,2,NA,1,1,NA,1,NA,30,30,NA,10,20,17,NA,17,14,3,July,,,,,July
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,4,2,2,4,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,2,NA,2,2,0,July,,,,,July
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,190,190,0,127,63,21,21,NA,NA,21,2,2,NA,2,NA,127,127,NA,116,11,0,0,NA,0,NA,3,3,NA,3,NA,37,37,NA,6,31,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,45,45,0,33,12,2,2,NA,NA,2,NA,NA,NA,NA,NA,28,28,NA,27,1,0,0,NA,0,NA,3,3,NA,3,NA,12,12,NA,3,9,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,22,22,0,10,12,3,3,NA,NA,3,NA,NA,NA,NA,NA,9,9,NA,9,0,0,0,NA,0,NA,1,1,NA,1,NA,9,9,NA,0,9,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,28,28,0,4,24,1,1,NA,NA,1,NA,NA,NA,NA,NA,4,4,NA,4,0,0,0,NA,0,NA,0,0,NA,0,NA,23,23,NA,0,23,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,1267,1225,42,850,417,106,106,NA,NA,106,9,9,NA,9,NA,565,565,NA,418,147,28,28,NA,28,NA,92,92,NA,92,NA,425,425,NA,261,164,42,NA,42,42,0,July,,,,,July
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,66632,66627,5,51132,15500,6700,6700,NA,NA,6700,2175,2175,NA,2175,NA,34889,34889,NA,29889,5000,300,300,NA,300,NA,3646,3646,NA,3646,NA,18917,18917,NA,15117,3800,5,NA,5,5,0,July,,,,,July
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,526,526,0,412,114,0,0,NA,NA,0,3,3,NA,3,NA,390,390,NA,283,107,3,3,NA,3,NA,50,50,NA,50,NA,80,80,NA,73,7,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,325,322,3,260,65,6,6,NA,NA,6,NA,NA,NA,NA,NA,172,172,NA,172,0,0,0,NA,0,NA,16,16,NA,16,NA,128,128,NA,69,59,3,NA,3,3,0,July,,,,,July
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1825,1776,49,1662,163,0,0,NA,NA,0,NA,NA,NA,NA,NA,1030,1030,NA,1030,NA,0,0,NA,0,NA,96,96,NA,96,NA,650,650,NA,487,163,49,NA,49,49,0,July,,,,,July
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July,,,,,July
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,755,360,395,302,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,360,NA,NA,360,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,395,NA,395,302,93,July,,,,,July
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1144,755,389,411,733,230,230,NA,NA,230,NA,NA,NA,NA,NA,415,415,NA,55,360,0,0,NA,0,NA,22,22,NA,22,NA,88,88,NA,44,44,389,NA,389,290,99,July,,,,,July
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,95,6,89,86,9,0,0,NA,NA,0,1,1,NA,1,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,5,5,NA,5,0,89,NA,89,80,9,July,,,,,July
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,54,6,48,47,7,0,0,NA,NA,0,2,2,NA,2,NA,2,2,NA,1,1,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,1,1,48,NA,48,43,5,July,,,,,July
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,46,3,43,42,4,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,3,3,NA,3,NA,0,0,NA,0,NA,0,0,NA,0,0,43,NA,43,39,4,July,,,,,July
